variable,mean,median,sd,q2.5,q97.5,alpha_median_prior,rho_median_prior,label,divergences
alpha,0.3069120792575,0.3054176,0.022231494594583637,0.26705922475,0.35462486375,0.15,3,"alpha~0.15, rho~3wks",0
rho,2.61337228255,2.6013640000000002,0.478734150789478,1.7173710125,3.6111689599999997,0.15,3,"alpha~0.15, rho~3wks",0
temp_effect,0.9861015772175,0.985947385,0.013280294241540577,0.9600156197499999,1.0126974775000002,0.15,3,"alpha~0.15, rho~3wks",0
rain_effect,1.0004467279975,1.0003487,0.011279971531622194,0.9788350474999999,1.02303474,0.15,3,"alpha~0.15, rho~3wks",0
prop_climate,0.005893708308081825,0.00434203115,0.005474787012929854,1.5766015525e-4,0.02046525815000001,0.15,3,"alpha~0.15, rho~3wks",0
prop_residual,0.9941062917025,0.99565797,0.0054747870597364225,0.97953474575,0.9998423377499999,0.15,3,"alpha~0.15, rho~3wks",0
phi,36.61575588025,36.526318,2.5651618343127423,31.7604082,41.743003175,0.15,3,"alpha~0.15, rho~3wks",0
alpha,0.3043387983775,0.302722105,0.021895676413452227,0.265685311,0.3499374197500001,0.15,6,"alpha~0.15, rho~6wks",0
rho,2.859515747575,2.8552075500000003,0.482345770387227,1.940208725,3.84364061,0.15,6,"alpha~0.15, rho~6wks",0
temp_effect,0.986034324575,0.9860581900000001,0.013253268099415915,0.95951637975,1.0118146975,0.15,6,"alpha~0.15, rho~6wks",0
rain_effect,1.000702359075,1.00063825,0.01156089593828723,0.9781838885,1.0235830925,0.15,6,"alpha~0.15, rho~6wks",0
prop_climate,0.00607751696870475,0.0044097687,0.005713126424703301,0.00018786651724999999,0.020537065200000003,0.15,6,"alpha~0.15, rho~6wks",0
prop_residual,0.9939224831,0.9955902299999999,0.005713126490751786,0.979462931,0.99981212975,0.15,6,"alpha~0.15, rho~6wks",0
phi,36.4860110795,36.427426,2.5491246309402773,31.69457785,41.79740325,0.15,6,"alpha~0.15, rho~6wks",0
alpha,0.3058277981,0.30431503,0.02177141679451678,0.26702392725,0.3517335615,0.15,15,"alpha~0.15, rho~15wks",0
rho,3.134503632975,3.12518315,0.47722613600542096,2.24107978,4.1324563175,0.15,15,"alpha~0.15, rho~15wks",0
temp_effect,0.985849657825,0.9857056,0.013968031504627889,0.9584469290000001,1.01344516,0.15,15,"alpha~0.15, rho~15wks",0
rain_effect,1.00055992104,1.00055105,0.011531399145743687,0.977623184,1.02366191,0.15,15,"alpha~0.15, rho~15wks",0
prop_climate,0.0062852661418715625,0.0045265161,0.006030218137545281,1.9967247525e-4,0.022203436375,0.15,15,"alpha~0.15, rho~15wks",0
prop_residual,0.9937147337225,0.995473485,0.006030218170453589,0.9777965627499999,0.999800324,0.15,15,"alpha~0.15, rho~15wks",0
phi,36.44616822775,36.372141,2.535340865615194,31.6483044,41.6465274,0.15,15,"alpha~0.15, rho~15wks",0
alpha,0.310653919415,0.309182515,0.022874622683416685,0.2695934555,0.35893981675,0.3,3,"alpha~0.30, rho~3wks",0
rho,2.610490787875,2.5896919,0.4870336972490211,1.7255963874999998,3.5822322950000003,0.3,3,"alpha~0.30, rho~3wks",0
temp_effect,0.986078188475,0.98577319,0.01379043745664959,0.9596606752500001,1.01420045,0.3,3,"alpha~0.30, rho~3wks",0
rain_effect,1.00029009129,1.00027695,0.011643899618441523,0.977068738,1.0236458975,0.3,3,"alpha~0.30, rho~3wks",0
prop_climate,0.006124472694246563,0.00436126925,0.005750900454445183,1.7763222875e-4,0.021165057025,0.3,3,"alpha~0.30, rho~3wks",0
prop_residual,0.993875527365,0.99563873,0.00575090053370656,0.978834941,0.9998223679999999,0.3,3,"alpha~0.30, rho~3wks",0
phi,36.59119551475,36.55841100000001,2.5972871449289454,31.563499925,41.550359025,0.3,3,"alpha~0.30, rho~3wks",0
alpha,0.308681070595,0.30763983,0.022079176640884688,0.269083993,0.35390481975,0.3,6,"alpha~0.30, rho~6wks",0
rho,2.867689203975,2.85700515,0.4998280041986838,1.9289975775000001,3.90004198,0.3,6,"alpha~0.30, rho~6wks",0
temp_effect,0.986123717145,0.986051195,0.01365392230390655,0.959787443,1.0130320875,0.3,6,"alpha~0.30, rho~6wks",0
rain_effect,1.00064883693,1.0005367,0.011386553877036337,0.9788503605,1.0238148175,0.3,6,"alpha~0.30, rho~6wks",0
prop_climate,0.0060532857386234,0.00432640135,0.005752196660161422,1.827365725e-4,0.021326016700000006,0.3,6,"alpha~0.30, rho~6wks",0
prop_residual,0.9939467143,0.9956735999999999,0.0057521967087302735,0.9786739852499999,0.9998172645,0.3,6,"alpha~0.30, rho~6wks",0
phi,36.455986523,36.360074499999996,2.531169206570818,31.7637236,41.559666675,0.3,6,"alpha~0.30, rho~6wks",0
alpha,0.3100594735625,0.30851197,0.02241593890948754,0.2694801455,0.3572583905,0.3,15,"alpha~0.30, rho~15wks",0
rho,3.1427078664,3.13358915,0.5023465382511787,2.2097033649999998,4.186445272499999,0.3,15,"alpha~0.30, rho~15wks",0
temp_effect,0.9859388862125,0.98569956,0.01428285484986307,0.9594182367499999,1.014305495,0.3,15,"alpha~0.30, rho~15wks",0
rain_effect,1.0006215831225,1.0005991,0.01198199630471232,0.9770870455,1.0233939925,0.3,15,"alpha~0.30, rho~15wks",0
prop_climate,0.006423827764562818,0.0046697687,0.006016167487947297,1.7935959775000003e-4,0.022551520875,0.3,15,"alpha~0.30, rho~15wks",0
prop_residual,0.99357617223,0.995330235,0.006016167494862181,0.977448484,0.9998206365,0.3,15,"alpha~0.30, rho~15wks",0
phi,36.443742927,36.41263,2.556906754940629,31.627275575,41.711177875,0.3,15,"alpha~0.30, rho~15wks",0
alpha,0.3153235610575,0.313852135,0.02412092114304539,0.271393175,0.368469347,0.6,3,"alpha~0.60, rho~3wks",0
rho,2.59268253027,2.5920512000000002,0.5209711178807803,1.5755001700000002,3.6253636325000005,0.6,3,"alpha~0.60, rho~3wks",0
temp_effect,0.986014597595,0.98619418,0.013828566415277636,0.95823946925,1.0131930999999998,0.6,3,"alpha~0.60, rho~3wks",0
rain_effect,1.0000147589675,0.999804695,0.011668860253754758,0.9776301367500001,1.0237197175,0.6,3,"alpha~0.60, rho~3wks",0
prop_climate,0.006112509391706098,0.004381971199999999,0.0058229078979598215,1.6911510874999998e-4,0.022037525800000003,0.6,3,"alpha~0.60, rho~3wks",0
prop_residual,0.9938874906825,0.9956180299999999,0.005822907952624091,0.97796247425,0.99983088625,0.6,3,"alpha~0.60, rho~3wks",0
phi,36.62187113425,36.5374045,2.566897631146519,31.815092325000002,41.852535175,0.6,3,"alpha~0.60, rho~3wks",0
alpha,0.3129126539175,0.31217219,0.022617362791713228,0.27172213525,0.360416002,0.6,6,"alpha~0.60, rho~6wks",0
rho,2.843359240075,2.82613115,0.5066015228347822,1.8923361825,3.8953046325,0.6,6,"alpha~0.60, rho~6wks",0
temp_effect,0.986060499925,0.9859842649999999,0.01385289705991363,0.9591077482500001,1.0142237175,0.6,6,"alpha~0.60, rho~6wks",0
rain_effect,1.00032261403,1.00022485,0.011585167042803247,0.97759730475,1.0236758275,0.6,6,"alpha~0.60, rho~6wks",0
prop_climate,0.0061177501423072,0.004330894,0.005873767632427038,1.4404339525000002e-4,0.02212830130000001,0.6,6,"alpha~0.60, rho~6wks",0
prop_residual,0.9938822499125,0.9956691049999999,0.005873767663336552,0.97787169675,0.999855958,0.6,6,"alpha~0.60, rho~6wks",0
phi,36.480048581,36.4087605,2.5506470916045503,31.744884074999998,41.683607800000004,0.6,6,"alpha~0.60, rho~6wks",0
alpha,0.314685497095,0.31342928,0.023208038708116066,0.27257968275,0.362632594,0.6,15,"alpha~0.60, rho~15wks",0
rho,3.167730751575,3.152038,0.5139981632634143,2.196237175,4.1973319225,0.6,15,"alpha~0.60, rho~15wks",0
temp_effect,0.9859395958125,0.98593451,0.01371281844427195,0.95920932925,1.0127061750000002,0.6,15,"alpha~0.60, rho~15wks",0
rain_effect,1.0004329477675,1.0005981,0.011789154641860354,0.97730851175,1.0238961549999999,0.6,15,"alpha~0.60, rho~15wks",0
prop_climate,0.00624194135199805,0.004509520899999999,0.0059600824237682135,1.6865633399999999e-4,0.022077040500000006,0.6,15,"alpha~0.60, rho~15wks",0
prop_residual,0.99375805865,0.99549048,0.005960082429787283,0.9779229635,0.99983134125,0.6,15,"alpha~0.60, rho~15wks",0
phi,36.406671068,36.3571855,2.4840839605052207,31.651673575,41.419708125,0.6,15,"alpha~0.60, rho~15wks",0
