year_month,median,lower_95,upper_95,lower_80,upper_80,D1_prop,D2_prop,D3_prop,D4_prop,D1_smooth,D2_smooth,D3_smooth,D4_smooth,dominant_raw,dominant,entropy,entropy_smooth
2013-01-01,0.482403635,0.31808593562500004,0.6450843108750001,0.3764773675,0.58927541275,0.24324324324324328,0.7027027027027027,0.05405405405405406,0,0.29554045231381226,0.5153449333304416,0.16133122403637395,0.02778339031937209,DENV-2,DENV-2,0.7495172222197811,1.0957533194364115
2013-02-01,0.243687982875,0.08710678555,0.411273481,0.139546094975,0.352278149,0.34146341463414637,0.36585365853658536,0.24390243902439024,0.04878048780487805,0.376514733111162,0.4246346691783679,0.16506387233025155,0.03378672538021851,DENV-2,DENV-2,1.22626228811389,1.1432982247415917
2013-03-01,-0.049669074625000004,-0.2107097092125,0.11337885338125006,-0.15744219902499998,0.05373752797249998,0.5769230769230769,0.20512820512820512,0.1794871794871795,0.03846153846153846,0.45250968670043956,0.34265076542208045,0.16558084207945095,0.03925870579802902,DENV-1,DENV-1,1.0758899667393502,1.1506762826932633
2013-04-01,0.34551721599999996,0.198787528195,0.48790425215,0.2469255518,0.4382855426,0.5,0.2894736842105263,0.17543859649122806,0.03508771929824561,0.531870803008536,0.262958451210425,0.16113407045174347,0.044036675329295574,DENV-1,DENV-1,1.1283169158460518,1.1187162826066426
2013-05-01,0.14757875912500001,-0.00460092268125,0.30727292650000004,0.0470388789125,0.25055422099999997,0.6410256410256411,0.1111111111111111,0.18803418803418803,0.05982905982905983,0.5995186989177758,0.20343628127528007,0.15105409003900683,0.045990929767937304,DENV-1,DENV-1,1.0119153435200348,1.0578133790384239
2013-06-01,0.25570141749999997,0.09917538464374999,0.41163510843750006,0.15388630547499998,0.356472435,0.6460176991150443,0.20353982300884957,0.08849557522123894,0.06194690265486725,0.6601621842577183,0.16045300672125226,0.13498731327104316,0.04439749574998615,DENV-1,DENV-1,0.993165445760742,0.9763362927771597
2013-07-01,-0.4103994001,-0.56499334985,-0.26064333331999995,-0.50822886268,-0.30941353348,0.6964285714285714,0.03571428571428571,0.17857142857142858,0.08928571428571429,0.7120448114175347,0.13334909555470845,0.11505119118973052,0.03955490183802641,DENV-1,DENV-1,0.8943117076585947,0.8870395336050788
2013-08-01,-0.25206380650000004,-0.40586388972500004,-0.08742749639374994,-0.353521367725,-0.147705962825,0.803921568627451,0.1176470588235294,0.0784313725490196,0,0.7597939748069574,0.11598666474759414,0.09186677968133522,0.03235258076411315,DENV-1,DENV-1,0.6268807504748255,0.7889171123863236
2013-09-01,0.1188294024,-0.026910983434999997,0.26934575822,0.023700063144,0.217387281,0.7166666666666667,0.18333333333333332,0.1,0,0.8007718324027998,0.10582409584144688,0.06878302890508285,0.024621042850670547,DENV-1,DENV-1,0.7800277323725409,0.6909117750329906
2013-10-01,0.0463511989,-0.106874813975,0.20738475201875003,-0.05678109194249999,0.147833970925,0.8048780487804879,0.17073170731707318,0.01219512195121951,0.01219512195121951,0.8324262237305751,0.10045295504586096,0.04912994233154587,0.017990878892018107,DENV-1,DENV-1,0.5839873498452567,0.6038513346331602
2013-11-01,-0.051715030875,-0.210748192925,0.10754562442750001,-0.15535743612500003,0.05409395812749998,0.8235294117647058,0.15294117647058825,0.01176470588235294,0.01176470588235294,0.8560092444608051,0.0980301072103787,0.033257209750446166,0.012703438578369983,DENV-1,DENV-1,0.5516040966026093,0.5294123873133676
2013-12-01,-0.0753897657,-0.22398296093,0.07475126959550003,-0.17383847261200003,0.02321437745999999,0.8701298701298701,0.11688311688311688,0.01298701298701298,0,0.8704195603933376,0.09804437440740382,0.022411936317314106,0.00912412888194456,DENV-1,DENV-1,0.4283583219157527,0.4764673221403545
2014-01-01,-0.021864741625000003,-0.177127799125,0.13980666255018753,-0.122590201825,0.08425867214999999,0.8987341772151899,0.0759493670886076,0.01265822784810126,0.01265822784810126,0.8777815189953649,0.10042332302368401,0.015094614816317577,0.0067005431646333475,DENV-1,DENV-1,0.40234876277965786,0.4420725156363276
2014-02-01,-0.37625369750000004,-0.5395025381874999,-0.20908733253749995,-0.4801501865,-0.266472215,0.9,0.1,0,0,0.8785359031863221,0.10564698217888105,0.010622732519539489,0.005194382115257464,DENV-1,DENV-1,0.3250829733914482,0.4268278776454455
2014-03-01,-0.1254125721,-0.27441150818,0.030985830441500044,-0.22254185533999998,-0.02023034672200001,0.8478260869565217,0.13043478260869565,0,0.0217391304347826,0.8738772314688908,0.11353719066424534,0.008220350559617383,0.004365227307246569,DENV-1,DENV-1,0.48887050487117023,0.4280145122207242
2014-04-01,0.0643015515,-0.09548144465,0.21678113056250004,-0.038902343804999996,0.167570078125,0.9230769230769232,0.07692307692307693,0,0,0.862496542460319,0.1269134319416405,0.006750487707879681,0.003839537890160711,DENV-1,DENV-1,0.271189373041844,0.4446620624378267
2014-05-01,0.21662544849999998,0.0669593272375,0.3742923236875,0.11829689345749998,0.31948913075,0.9325153374233128,0.05521472392638037,0.01226993865030674,0,0.8444302443372778,0.14581447149619706,0.006154404838549845,0.0036008793279753495,DENV-1,DENV-1,0.2790805399124073,0.4751316569555585
2014-06-01,0.404784508,0.26101761040000004,0.56334877905,0.3090790666,0.5027098632000001,0.9222222222222224,0.06666666666666667,0.01111111111111111,0,0.8174588365704815,0.1727751676071021,0.006209658849516619,0.003556336972899861,DENV-1,DENV-1,0.30520603408042096,0.519724717653324
2014-07-01,0.171398266375,0.01838256443750001,0.32623549456875,0.0690260541825,0.273982105925,0.7291666666666666,0.25,0.02083333333333333,0,0.7829515621209575,0.20649022746263418,0.006888428921248079,0.003669781495160135,DENV-1,DENV-1,0.65753305362486,0.5721836027371241
2014-08-01,-0.36860706249999997,-0.5237008213125,-0.20684758344374993,-0.46947362600000003,-0.2638349487,0.6390532544378699,0.33727810650887574,0.02366863905325443,0,0.7399666980159708,0.24776610509345723,0.008334260449548513,0.003932936441023385,DENV-1,DENV-1,0.7413231395357087,0.6302230103067397
2014-09-01,-0.16105869569999998,-0.30350655855,-0.012267118679999961,-0.25739562162199997,-0.065810728944,0.7244897959183674,0.2653061224489796,0,0.01020408163265306,0.6937458513970607,0.29117800687882106,0.010729225086355022,0.004346916637763149,DENV-1,DENV-1,0.6323064454206543,0.6852237847889227
2014-10-01,-0.2720623,-0.42488156275,-0.1175303501375,-0.37209866324999996,-0.171571387575,0.6607142857142857,0.3392857142857143,0,0,0.6524832577320393,0.3284438392504342,0.014163904524050265,0.004908998493476267,DENV-1,DENV-1,0.6405605590923158,0.7306727101249398
2014-11-01,-0.3499919925,-0.5098028144375001,-0.18583245006249996,-0.457810457,-0.2401292985,0.4615384615384616,0.5192307692307693,0.01923076923076923,0,0.6208345930719031,0.35445473009245715,0.019015625567246706,0.005695051268393055,DENV-2,DENV-1,0.7731497318416661,0.7683596948726772
2014-12-01,0.0319034302,-0.11695671187099999,0.18618370667,-0.067107205786,0.12907809799999997,0.5238095238095238,0.47619047619047616,0,0,0.6057793293818016,0.36257842299775955,0.024925776548068105,0.006716471072370681,DENV-1,DENV-1,0.6920129648318738,0.7971076881040561
2015-01-01,0.0870551477,-0.0632610773495,0.24245475068,-0.013256677005999995,0.187982746,0.7391304347826086,0.2318840579710145,0.0144927536231884,0.0144927536231884,0.6071777730267376,0.3527202240456805,0.031966339421803706,0.008135663505778226,DENV-1,DENV-1,0.6850553911946926,0.8197112864937165
2015-02-01,-0.234426509625,-0.40419490174999995,-0.06633253739274997,-0.34482447600000005,-0.12086692849000001,0.7058823529411765,0.2352941176470588,0.0392156862745098,0.0196078431372549,0.6219488059893783,0.3286123186352224,0.039393117960367686,0.010045757415031529,DENV-1,DENV-1,0.7904166926655835,0.8346872557069529
2015-03-01,-0.289752587,-0.44684174625,-0.12948792327999994,-0.39283257239999997,-0.18735144620000002,0.6666666666666666,0.3055555555555556,0.02777777777777777,0,0.6406831876019613,0.3010973290110047,0.04591685717463803,0.012302626212395973,DENV-1,DENV-1,0.7321261626468664,0.8422312965234066
2015-04-01,0.030603659550000002,-0.13024131717499998,0.19503501086875,-0.07003005974999998,0.13987496910000002,0.59375,0.25,0.125,0.03125,0.6595202668396396,0.27245385558802865,0.05253853369094576,0.015487343881386033,DENV-1,DENV-1,1.0243280783597073,0.8481249237096541
2015-05-01,0.14266338374999998,-0.009417306898187497,0.30480830875,0.03879633332500001,0.24498339824999996,0.75,0.225,0.025,0,0.6690037108991536,0.2534607406336763,0.058257453879806825,0.019278094587363293,DENV-1,DENV-1,0.6436058879666704,0.858547342695696
2015-06-01,0.282583517,0.134408373971,0.43108535254999997,0.18600953520000002,0.38019351219999997,0.6730769230769231,0.2307692307692308,0.07692307692307693,0.01923076923076923,0.6644029325339977,0.2481068216684654,0.06367356978539157,0.023816676012145366,DENV-1,DENV-1,0.8781429610032534,0.8818549879905098
2015-07-01,0.1290272495,-0.021807800568749987,0.29021679581250026,0.029202488950000004,0.2324937818,0.5901639344262295,0.21311475409836064,0.13114754098360656,0.06557377049180328,0.6421336317854781,0.2604598200020405,0.06885875342585372,0.028547794786627622,DENV-1,DENV-1,1.0857634836923573,0.9206033016215908
2015-08-01,-0.06306263,-0.212354805595,0.09368400737500018,-0.1638445072386,0.0374073359256,0.6888888888888889,0.2222222222222222,0.08888888888888889,0,0.5972835633454616,0.2946656688758006,0.07467142008529301,0.033379347693444666,DENV-1,DENV-1,0.8061151183601075,0.9751045916412284
2015-09-01,0.0294460917375,-0.12982282950625,0.19160866612500005,-0.07153867319999999,0.13350904600000002,0.34545454545454546,0.509090909090909,0.09090909090909093,0.05454545454545454,0.5287255309106553,0.35228387181928006,0.0813346562534075,0.03765594101665707,DENV-2,DENV-1,1.0875314885553273,1.0320607179267207
2015-10-01,-0.02730238805,-0.18333778237499998,0.13869056716875,-0.12974562064999998,0.07609645452500001,0.36764705882352944,0.5,0.08823529411764706,0.04411764705882353,0.4442567917820695,0.4263409937307413,0.08863802379981653,0.04076419068737271,DENV-2,DENV-1,1.0663526001757073,1.0691418837962692
2015-11-01,0.05418811938,-0.10530820361,0.211067546555,-0.04508322578,0.15489866676,0.4358974358974359,0.4871794871794872,0.05128205128205128,0.02564102564102564,0.35214789017031645,0.5084743182630754,0.09685068483750883,0.04252710672909924,DENV-2,DENV-2,0.9585549329440584,1.0718302979767067
2015-12-01,0.329740615,0.171426179875,0.4967570115,0.225514029,0.4379400983333333,0.30833333333333335,0.5833333333333334,0.06666666666666667,0.04166666666666666,0.2751574157242346,0.5765002809019651,0.10548585891415264,0.04285644445964763,DENV-2,DENV-2,0.9901471460578741,1.044840913952963
2016-01-01,0.36262394499999995,0.21905817575625003,0.518295743125,0.26861370425000003,0.46257199825000006,0.3333333333333333,0.5823293172690763,0.04819277108433735,0.03614457831325301,0.21874913195937093,0.6232346565860978,0.1158037791821146,0.042212432272416715,DENV-2,DENV-2,0.9472357715989129,1.0104074013526894
2016-02-01,-0.121864947,-0.265328375096,0.026941377832500064,-0.215391603,-0.023621228060000003,0.25316455696202533,0.5907172995780591,0.08860759493670886,0.06751054852320675,0.18697466240795346,0.6432857932972247,0.12866471994595577,0.04107482434886605,DENV-2,DENV-2,1.0554567502209664,0.9922701809351471
2016-03-01,-0.25365348374999996,-0.41067223531249997,-0.09435898086874996,-0.35802447225,-0.1492796875,0.13690476190476192,0.6666666666666666,0.17261904761904762,0.0238095238095238,0.1767526716849016,0.6393431838500305,0.1440766134267823,0.03982753103828561,DENV-2,DENV-2,0.9347675682990426,0.9998076152063993
2016-04-01,-0.28741137375000003,-0.44673494506249994,-0.12430701262499999,-0.390564845,-0.1831393155,0.12871287128712872,0.5643564356435643,0.24752475247524752,0.0594059405940594,0.1838323585166929,0.6126654711503899,0.1651689343407218,0.03833323599219533,DENV-2,DENV-2,1.1000639193101436,1.0339850292060588
2016-05-01,-0.12692102682200002,-0.2747599229,0.03213969171000001,-0.22732272580000001,-0.022361988502,0.10112359550561796,0.6741573033707865,0.1797752808988764,0.0449438202247191,0.20645329327184214,0.566411807413063,0.19055845955669537,0.036576439758399526,DENV-2,DENV-2,0.9454645502976671,1.0845999218129267
2016-06-01,0.0655460423625,-0.09688695056875,0.22112691175000002,-0.041219988639999997,0.16813158575,0.3076923076923077,0.47435897435897434,0.20512820512820512,0.01282051282051282,0.24294926146963064,0.5018817257580753,0.2209858410265466,0.034183171745747386,DENV-2,DENV-2,1.097238643971342,1.1387580739899184
2016-07-01,0.06963560405,-0.093173749511875,0.22318934312500002,-0.03415802313249998,0.17397938964999998,0.24468085106382975,0.40425531914893614,0.32978723404255317,0.02127659574468085,0.2843640096352454,0.43286377417664024,0.25161185392573976,0.03116036226237456,DENV-2,DENV-2,1.1583528808217856,1.1753127124067237
2016-08-01,0.03678926596,-0.11351976107,0.18792024425,-0.061226698659999995,0.13430772075999997,0.2689075630252101,0.48739495798319327,0.2352941176470588,0.00840336134453781,0.32335995671032797,0.36884005720013635,0.28029608287534363,0.027503903214192136,DENV-2,DENV-2,1.0840733268410312,1.188292404938208
2016-09-01,-0.219634125575,-0.38038669531249997,-0.05230196204375,-0.325638478,-0.10865535016175004,0.30434782608695654,0.17391304347826086,0.4927536231884058,0.02898550724637681,0.3495248896190701,0.3241241807357095,0.3025006241034316,0.023850305541788915,DENV-3,DENV-1,1.1176368931810672,1.183376563191002
2016-10-01,-0.457671724,-0.62109220075,-0.2968030330149999,-0.5605748314,-0.35540787388,0.32608695652173914,0.4565217391304347,0.17391304347826086,0.04347826086956521,0.3587132905535727,0.3044666240781609,0.3159559161978384,0.020864169170427965,DENV-2,DENV-1,1.1639120290264078,1.1746020701668547
2016-11-01,-0.12085506462500001,-0.29519867275,0.05301566879812502,-0.23715984774999999,-0.009311761417500015,0.34782608695652173,0.21739130434782608,0.391304347826087,0.04347826086956521,0.35189634662572994,0.3090490419214144,0.320339211846082,0.0187153996067736,DENV-3,DENV-1,1.202548864118925,1.169553167001388
2016-12-01,-0.10985530966666666,-0.2896550901666667,0.07018632808250003,-0.22789377233333333,0.009427549277666657,0.7,0.3,0,0,0.3323355352215551,0.33556706994215396,0.3143688562405432,0.017728538595747752,DENV-1,DENV-2,0.6108643020548935,1.1677968078135887
2017-01-01,-0.0017700820000000016,-0.16536443255000002,0.164322664655,-0.11163861696,0.10575551751,0.2861111111111111,0.35833333333333334,0.325,0.03055555555555555,0.30348688608878477,0.38094690748415583,0.29756080999341,0.018005396433649346,DENV-2,DENV-2,1.1976482416656344,1.1625464970669226
2017-02-01,-0.355134505,-0.5406206815,-0.16248072732937496,-0.47417662425,-0.233613337925,0.21052631578947367,0.3508771929824561,0.42105263157894735,0.0175438596491228,0.27207591522071056,0.4357722443937663,0.27222780706837985,0.019924033317143375,DENV-3,DENV-2,1.1306509661347866,1.1483411673299693
2017-03-01,-0.2290912210125,-0.434493904375,-0.03677887891249994,-0.36379238625,-0.10304287300000003,0.22297297297297297,0.5540540540540541,0.22297297297297297,0,0.24658033411971947,0.48379452030377335,0.24601099643026259,0.023614149146244687,DENV-2,DENV-2,0.9963982377340039,1.1299670072098453
2017-04-01,0.027269951874999997,-0.1690146883125,0.20998298024375012,-0.10450659647499999,0.144489132275,0.1858974358974359,0.5,0.2692307692307692,0.04487179487179487,0.22517651906692307,0.5254715008509349,0.21844002955411715,0.030911950528025003,DENV-2,DENV-2,1.1519177856938667,1.1135980049495147
2017-05-01,0.1751196368,-0.006021390372499997,0.3501725341,0.057066916616,0.2901236574,0.11507936507936509,0.5634920634920635,0.29365079365079366,0.02777777777777777,0.21238711839208693,0.5476967532391661,0.19723137512738909,0.04268475324135781,DENV-2,DENV-2,1.0314084161245878,1.1135976892730406
2017-06-01,0.19103658335,0.02177140423500001,0.36383781106249996,0.07939520315000001,0.30652910875,0.17064846416382254,0.5972696245733788,0.20819112627986347,0.02389078498293515,0.20649423923255392,0.5486311326924432,0.18344330606130246,0.06143132201370044,DENV-2,DENV-2,1.025485330976175,1.1375757966156124
2017-07-01,-0.120372613,-0.29145531985,0.05771341217500003,-0.23401498192,-0.008050874736000028,0.2532467532467532,0.5454545454545454,0.1461038961038961,0.05519480519480519,0.2058838779240776,0.5285754722623699,0.17903783473643092,0.08650281507712164,DENV-2,DENV-2,1.1193410949535882,1.182087223086153
2017-08-01,-0.11031989125,-0.3047508349375,0.07299808659375003,-0.2370915435,0.008843066569999994,0.11442786069651742,0.7164179104477612,0.11442786069651742,0.05472636815920398,0.20795638399569805,0.49070936323973313,0.1842300232402067,0.11710422952436211,DENV-2,DENV-2,0.8940377584448118,1.2387082821313138
2017-09-01,-0.0627084255,-0.2425278240375,0.11617588016250001,-0.18010806278,0.055214164774999984,0.22772277227722773,0.38613861386138615,0.19306930693069307,0.19306930693069307,0.2103437585950069,0.44407903673543464,0.19959789070868175,0.14597931396087668,DENV-2,DENV-2,1.339462741369527,1.2909595430058627
2017-10-01,0.17802625369,0.011542994837499999,0.3502214284,0.06888527605200001,0.28828078758,0.2120253164556962,0.2911392405063291,0.13924050632911392,0.3575949367088608,0.21131219146814578,0.4004123335931355,0.22390071327107838,0.16437476166764042,DENV-4,DENV-2,1.3303684098065185,1.3268244746665918
2017-11-01,-0.3476061775,-0.5457652004375001,-0.14363048108124998,-0.478104121,-0.21871548100000002,0.24705882352941175,0.3411764705882353,0.2058823529411765,0.2058823529411765,0.21021210528909437,0.3651658570446468,0.25697529474062547,0.16764674292563336,DENV-2,DENV-2,1.3630797142040691,1.3442956220715176
2017-12-01,0.2296852133,0.059859507199999995,0.406857612865,0.11959285966,0.34191907320000003,0.3463414634146341,0.23414634146341465,0.3073170731707317,0.11219512195121951,0.20735476617855164,0.3451783929494314,0.2925630210608106,0.15490381981120627,DENV-1,DENV-2,1.3151964448820708,1.3418703695146932
